iter	Passed	Remaining
265	5824	16073
266	5841	16036
267	5857	15998
268	5873	15961
269	5895	15940
270	5916	15914
271	5934	15884
272	5952	15851
273	5969	15818
274	5987	15784
275	6010	15766
276	6027	15732
277	6052	15717
278	6071	15689
279	6090	15662
280	6111	15636
281	6127	15602
282	6144	15567
283	6161	15533
284	6178	15500
285	6194	15464
286	6210	15428
287	6226	15392
288	6242	15357
289	6261	15330
290	6282	15306
291	6299	15273
292	6316	15240
293	6332	15206
294	6348	15172
295	6364	15137
296	6381	15104
297	6397	15069
298	6412	15034
299	6430	15004
300	6451	14982
301	6471	14957
302	6488	14924
303	6504	14891
304	6520	14857
305	6536	14824
306	6551	14789
307	6568	14756
308	6584	14723
309	6600	14691
310	6616	14659
311	6640	14643
312	6662	14623
313	6678	14590
314	6694	14557
315	6710	14525
316	6726	14492
317	6742	14460
318	6759	14429
319	6775	14397
320	6791	14365
321	6806	14332
322	6826	14308
323	6844	14280
324	6861	14251
325	6878	14221
326	6897	14195
327	6914	14166
328	6931	14136
329	6948	14108
330	6968	14083
331	6990	14064
332	7017	14055
333	7038	14035
334	7056	14007
335	7076	13983
336	7094	13957
337	7111	13928
338	7130	13902
339	7147	13875
340	7165	13846
341	7187	13829
342	7205	13801
343	7221	13771
344	7237	13740
345	7255	13714
346	7273	13686
347	7293	13664
348	7309	13633
349	7325	13604
350	7341	13574
351	7357	13544
352	7382	13530
353	7399	13502
354	7416	13474
355	7433	13446
356	7451	13420
357	7469	13395
358	7489	13372
359	7505	13343
360	7522	13315
361	7538	13285
362	7557	13261
363	7575	13236
364	7591	13207
365	7612	13186
366	7633	13166
367	7651	13139
368	7668	13112
369	7685	13086
370	7701	13057
371	7720	13033
372	7738	13008
373	7758	12986
374	7776	12961
375	7793	12933
376	7811	12908
377	7829	12883
378	7846	12856
379	7863	12829
380	7881	12805
381	7898	12778
382	7919	12757
383	7938	12735
384	7956	12709
385	7974	12684
386	7993	12661
387	8015	12643
388	8033	12618
389	8051	12593
390	8068	12567
391	8086	12542
392	8106	12520
393	8126	12499
394	8149	12482
395	8170	12461
396	8193	12444
397	8211	12420
398	8233	12401
399	8251	12377
400	8272	12356
401	8297	12342
402	8315	12318
403	8338	12300
